Gene	Gene description	Concentration
IGLV7-43	Immunoglobulin lambda variable 7-43	130 ug/L
PLXND1	Plexin D1	120 ug/L
PLS3	Plastin 3	120 ug/L
PRDX6	Peroxiredoxin 6	120 ug/L
ANGPTL3	Angiopoietin like 3	120 ug/L
TPM1	Tropomyosin 1	120 ug/L
GSTO1	Glutathione S-transferase omega 1	120 ug/L
NCAM2	Neural cell adhesion molecule 2	120 ug/L
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	120 ug/L
PGAM1	Phosphoglycerate mutase 1	120 ug/L
IGLV4-60	Immunoglobulin lambda variable 4-60	120 ug/L
IGHV1-58	Immunoglobulin heavy variable 1-58	120 ug/L
GRN	Granulin precursor	110 ug/L
TIMP2	TIMP metallopeptidase inhibitor 2	110 ug/L
NRCAM	Neuronal cell adhesion molecule	110 ug/L
CPA1	Carboxypeptidase A1	110 ug/L
TUBB4A	Tubulin beta 4A class IVa	110 ug/L
ADGRG6	Adhesion G protein-coupled receptor G6	110 ug/L
MAN2A1	Mannosidase alpha class 2A member 1	110 ug/L
PRDX1	Peroxiredoxin 1	110 ug/L
KRT85	Keratin 85	110 ug/L
KRT71	Keratin 71	110 ug/L
ADAMTSL4	ADAMTS like 4	110 ug/L
MFAP4	Microfibril associated protein 4	110 ug/L
P4HB	Prolyl 4-hydroxylase subunit beta	110 ug/L
IGHV2-70D	Immunoglobulin heavy variable 2-70D	110 ug/L
PECAM1	Platelet and endothelial cell adhesion molecule 1	110 ug/L
DSP	Desmoplakin	100 ug/L
CHGA	Chromogranin A	100 ug/L
MET	MET proto-oncogene, receptor tyrosine kinase	100 ug/L
GOT1	Glutamic-oxaloacetic transaminase 1	100 ug/L
SRGN	Serglycin	100 ug/L
LAMC1	Laminin subunit gamma 1	100 ug/L
CTSB	Cathepsin B	100 ug/L
PRG2	Proteoglycan 2, pro eosinophil major basic protein	100 ug/L
HLA-E	Major histocompatibility complex, class I, E	100 ug/L
B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	99 ug/L
MYH1	Myosin heavy chain 1	98 ug/L
PAM	Peptidylglycine alpha-amidating monooxygenase	98 ug/L
B4GALT1	Beta-1,4-galactosyltransferase 1	97 ug/L
YWHAB	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	97 ug/L
STAB1	Stabilin 1	96 ug/L
LTBP1	Latent transforming growth factor beta binding protein 1	96 ug/L
MEGF9	Multiple EGF like domains 9	96 ug/L
PLXNB1	Plexin B1	95 ug/L
LILRA1	Leukocyte immunoglobulin like receptor A1	94 ug/L
PDLIM1	PDZ and LIM domain 1	93 ug/L
CD34	CD34 molecule	93 ug/L
ITGA2B	Integrin subunit alpha 2b	90 ug/L
SBSN	Suprabasin	89 ug/L
TUBB3	Tubulin beta 3 class III	89 ug/L
CTSZ	Cathepsin Z	88 ug/L
EGFR	Epidermal growth factor receptor	88 ug/L
CPB1	Carboxypeptidase B1	88 ug/L
CAVIN2	Caveolae associated protein 2	88 ug/L
LMAN2	Lectin, mannose binding 2	88 ug/L
SSC5D	Scavenger receptor cysteine rich family member with 5 domains	88 ug/L
PSAP	Prosaposin	88 ug/L
TFPI	Tissue factor pathway inhibitor	87 ug/L
TIE1	Tyrosine kinase with immunoglobulin like and EGF like domains 1	87 ug/L
TUBB1	Tubulin beta 1 class VI	87 ug/L
C1orf56	Chromosome 1 open reading frame 56	87 ug/L
CEACAM6	CEA cell adhesion molecule 6	86 ug/L
GPI	Glucose-6-phosphate isomerase	86 ug/L
ENO3	Enolase 3	86 ug/L
LTA4H	Leukotriene A4 hydrolase	86 ug/L
CLSTN1	Calsyntenin 1	86 ug/L
MYH4	Myosin heavy chain 4	86 ug/L
OSCAR	Osteoclast associated Ig-like receptor	84 ug/L
MMRN2	Multimerin 2	84 ug/L
DAG1	Dystroglycan 1	84 ug/L
YWHAE	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	83 ug/L
ESAM	Endothelial cell adhesion molecule	82 ug/L
EEF1A1	Eukaryotic translation elongation factor 1 alpha 1	82 ug/L
CST6	Cystatin E/M	82 ug/L
GSR	Glutathione-disulfide reductase	81 ug/L
MYH2	Myosin heavy chain 2	81 ug/L
GOLM1	Golgi membrane protein 1	81 ug/L
BPGM	Bisphosphoglycerate mutase	81 ug/L
MADCAM1	Mucosal vascular addressin cell adhesion molecule 1	80 ug/L
COL1A1	Collagen type I alpha 1 chain	80 ug/L
HBZ	Hemoglobin subunit zeta	80 ug/L
EXTL2	Exostosin like glycosyltransferase 2	80 ug/L
SFTPB	Surfactant protein B	80 ug/L
TUBA8	Tubulin alpha 8	80 ug/L
CDH1	Cadherin 1	78 ug/L
FGFR1	Fibroblast growth factor receptor 1	78 ug/L
TMEM132C	Transmembrane protein 132C	78 ug/L
PAPPA	Pappalysin 1	78 ug/L
PLXNB2	Plexin B2	78 ug/L
IGHE	Immunoglobulin heavy constant epsilon	77 ug/L
AMY2B	Amylase alpha 2B	77 ug/L
PAPLN	Papilin, proteoglycan like sulfated glycoprotein	76 ug/L
CALM1	Calmodulin 1	75 ug/L
PSG1	Pregnancy specific beta-1-glycoprotein 1	75 ug/L
SPP1	Secreted phosphoprotein 1	73 ug/L
CAP1	Cyclase associated actin cytoskeleton regulatory protein 1	73 ug/L
MEGF10	Multiple EGF like domains 10	73 ug/L
AXL	AXL receptor tyrosine kinase	72 ug/L
HSP90AA1	Heat shock protein 90 alpha family class A member 1	71 ug/L
ACTN4	Actinin alpha 4	71 ug/L
SLC38A10	Solute carrier family 38 member 10	70 ug/L
KRT78	Keratin 78	70 ug/L
AMY1B	Amylase alpha 1B	70 ug/L
AMY1C	Amylase alpha 1C	70 ug/L
AMY1A	Amylase alpha 1A	70 ug/L
GSTP1	Glutathione S-transferase pi 1	69 ug/L
CRHBP	Corticotropin releasing hormone binding protein	69 ug/L
RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	69 ug/L
OAF	Out at first homolog	69 ug/L
REG1A	Regenerating family member 1 alpha	68 ug/L
KRT84	Keratin 84	67 ug/L
AKR1B10	Aldo-keto reductase family 1 member B10	67 ug/L
L1CAM	L1 cell adhesion molecule	67 ug/L
HLA-G	Major histocompatibility complex, class I, G	67 ug/L
PSG3	Pregnancy specific beta-1-glycoprotein 3	67 ug/L
PIP	Prolactin induced protein	66 ug/L
UMOD	Uromodulin	66 ug/L
YWHAG	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	66 ug/L
LILRB2	Leukocyte immunoglobulin like receptor B2	65 ug/L
FCRL5	Fc receptor like 5	65 ug/L
MERTK	MER proto-oncogene, tyrosine kinase	65 ug/L
PSG6	Pregnancy specific beta-1-glycoprotein 6	65 ug/L
IGDCC4	Immunoglobulin superfamily DCC subclass member 4	64 ug/L
RECK	Reversion inducing cysteine rich protein with kazal motifs	64 ug/L
JUP	Junction plakoglobin	64 ug/L
WDR1	WD repeat domain 1	63 ug/L
HSP90AB1	Heat shock protein 90 alpha family class B member 1	63 ug/L
HSPA2	Heat shock protein family A (Hsp70) member 2	63 ug/L
BASP1	Brain abundant membrane attached signal protein 1	63 ug/L
CD99	CD99 molecule (Xg blood group)	62 ug/L
PEAR1	Platelet endothelial aggregation receptor 1	62 ug/L
MMP9	Matrix metallopeptidase 9	61 ug/L
PSMA2	Proteasome 20S subunit alpha 2	61 ug/L
ARHGDIB	Rho GDP dissociation inhibitor beta	61 ug/L
SEMA4B	Semaphorin 4B	61 ug/L
RNASE4	Ribonuclease A family member 4	61 ug/L
MYL6	Myosin light chain 6	60 ug/L
FUCA1	Alpha-L-fucosidase 1	60 ug/L
SELENBP1	Selenium binding protein 1	59 ug/L
VSIG4	V-set and immunoglobulin domain containing 4	59 ug/L
CD59	CD59 molecule (CD59 blood group)	58 ug/L
ADA2	Adenosine deaminase 2	58 ug/L
LILRB5	Leukocyte immunoglobulin like receptor B5	58 ug/L
ALDH1A1	Aldehyde dehydrogenase 1 family member A1	58 ug/L
NTM	Neurotrimin	58 ug/L
PNP	Purine nucleoside phosphorylase	58 ug/L
PSG4	Pregnancy specific beta-1-glycoprotein 4	58 ug/L
FGL1	Fibrinogen like 1	57 ug/L
CHIT1	Chitinase 1	57 ug/L
B4GAT1	Beta-1,4-glucuronyltransferase 1	57 ug/L
B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	57 ug/L
FUCA2	Alpha-L-fucosidase 2	56 ug/L
FAP	Fibroblast activation protein alpha	56 ug/L
PLS1	Plastin 1	56 ug/L
ADGRF5	Adhesion G protein-coupled receptor F5	55 ug/L
EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	55 ug/L
ENO2	Enolase 2	55 ug/L
SOD2	Superoxide dismutase 2	55 ug/L
CNTFR	Ciliary neurotrophic factor receptor	55 ug/L
PSG8	Pregnancy specific beta-1-glycoprotein 8	55 ug/L
PRKCSH	Protein kinase C substrate 80K-H	55 ug/L
ENPEP	Glutamyl aminopeptidase	55 ug/L
LAMA2	Laminin subunit alpha 2	55 ug/L
IGLV10-54	Immunoglobulin lambda variable 10-54	54 ug/L
GDI2	GDP dissociation inhibitor 2	53 ug/L
NPC2	NPC intracellular cholesterol transporter 2	53 ug/L
MYH8	Myosin heavy chain 8	53 ug/L
CA3	Carbonic anhydrase 3	53 ug/L
HSPA1L	Heat shock protein family A (Hsp70) member 1 like	53 ug/L
OIT3	Oncoprotein induced transcript 3	52 ug/L
TUBB6	Tubulin beta 6 class V	52 ug/L
PEBP1	Phosphatidylethanolamine binding protein 1	51 ug/L
CPQ	Carboxypeptidase Q	51 ug/L
OSMR	Oncostatin M receptor	51 ug/L
TGFBR3	Transforming growth factor beta receptor 3	50 ug/L
SOD1	Superoxide dismutase 1	50 ug/L
MDH1	Malate dehydrogenase 1	49 ug/L
TXNDC15	Thioredoxin domain containing 15	49 ug/L
YWHAQ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	49 ug/L
WARS1	Tryptophanyl-tRNA synthetase 1	49 ug/L
KIT	KIT proto-oncogene, receptor tyrosine kinase	49 ug/L
ART3	ADP-ribosyltransferase 3 (inactive)	48 ug/L
CSPG4	Chondroitin sulfate proteoglycan 4	48 ug/L
CALML5	Calmodulin like 5	48 ug/L
FAM3C	FAM3 metabolism regulating signaling molecule C	48 ug/L
DMKN	Dermokine	47 ug/L
CFL2	Cofilin 2	47 ug/L
HSPA1A	Heat shock protein family A (Hsp70) member 1A	47 ug/L
NOTCH3	Notch receptor 3	46 ug/L
ATF6	Activating transcription factor 6	46 ug/L
FCGR2A	Fc fragment of IgG receptor IIa	46 ug/L
TLN2	Talin 2	46 ug/L
ATF6B	Activating transcription factor 6 beta	46 ug/L
CORO1A	Coronin 1A	45 ug/L
FABP1	Fatty acid binding protein 1	45 ug/L
GP6	Glycoprotein VI platelet	44 ug/L
SIRPB1	Signal regulatory protein beta 1	44 ug/L
MANSC1	MANSC domain containing 1	44 ug/L
ALAD	Aminolevulinate dehydratase	44 ug/L
MYH7	Myosin heavy chain 7	43 ug/L
SPINK5	Serine peptidase inhibitor Kazal type 5	43 ug/L
TREML1	Triggering receptor expressed on myeloid cells like 1	43 ug/L
ITGA2	Integrin subunit alpha 2	43 ug/L
CD248	CD248 molecule	43 ug/L
PSG9	Pregnancy specific beta-1-glycoprotein 9	43 ug/L
MAN2A2	Mannosidase alpha class 2A member 2	43 ug/L
IGLV9-49	Immunoglobulin lambda variable 9-49	43 ug/L
EZR	Ezrin	42 ug/L
BLMH	Bleomycin hydrolase	42 ug/L
YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	42 ug/L
PRCP	Prolylcarboxypeptidase	42 ug/L
PGD	Phosphogluconate dehydrogenase	41 ug/L
SH3BGRL3	SH3 domain binding glutamate rich protein like 3	41 ug/L
MELTF	Melanotransferrin	41 ug/L
NECTIN3	Nectin cell adhesion molecule 3	41 ug/L
IGKV1D-42	Immunoglobulin kappa variable 1D-42 (non-functional)	41 ug/L
PSG2	Pregnancy specific beta-1-glycoprotein 2	41 ug/L
HEXB	Hexosaminidase subunit beta	40 ug/L
CES1	Carboxylesterase 1	40 ug/L
PSG11	Pregnancy specific beta-1-glycoprotein 11	40 ug/L
PDGFRB	Platelet derived growth factor receptor beta	39 ug/L
CALD1	Caldesmon 1	39 ug/L
EXT2	Exostosin glycosyltransferase 2	39 ug/L
CCDC126	Coiled-coil domain containing 126	39 ug/L
ADH1B	Alcohol dehydrogenase 1B (class I), beta polypeptide	39 ug/L
TFRC	Transferrin receptor	38 ug/L
PLA2G15	Phospholipase A2 group XV	38 ug/L
RDX	Radixin	38 ug/L
SEMA7A	Semaphorin 7A (John Milton Hagen blood group)	38 ug/L
PGAM2	Phosphoglycerate mutase 2	38 ug/L
CKB	Creatine kinase B	38 ug/L
ADH1A	Alcohol dehydrogenase 1A (class I), alpha polypeptide	38 ug/L
ITGB3	Integrin subunit beta 3	38 ug/L
PDE3A	Phosphodiesterase 3A	37 ug/L
CCL14	C-C motif chemokine ligand 14	37 ug/L
MRC2	Mannose receptor C type 2	36 ug/L
AGA	Aspartylglucosaminidase	36 ug/L
FCN1	Ficolin 1	36 ug/L
FGFBP2	Fibroblast growth factor binding protein 2	36 ug/L
PGLYRP1	Peptidoglycan recognition protein 1	35 ug/L
VIM	Vimentin	35 ug/L
CD84	CD84 molecule	35 ug/L
PARK7	Parkinsonism associated deglycase	35 ug/L
ACTR2	Actin related protein 2	35 ug/L
IL6R	Interleukin 6 receptor	35 ug/L
FBLN2	Fibulin 2	35 ug/L
MYL9	Myosin light chain 9	34 ug/L
TNN	Tenascin N	34 ug/L
FSTL1	Follistatin like 1	34 ug/L
VCP	Valosin containing protein	34 ug/L
KRTDAP	Keratinocyte differentiation associated protein	34 ug/L
PODXL	Podocalyxin like	33 ug/L
GPNMB	Glycoprotein nmb	33 ug/L
RSU1	Ras suppressor protein 1	33 ug/L
PPIB	Peptidylprolyl isomerase B	33 ug/L
CR1	Complement C3b/C4b receptor 1 (Knops blood group)	33 ug/L
VASP	Vasodilator stimulated phosphoprotein	32 ug/L
TIMD4	T cell immunoglobulin and mucin domain containing 4	32 ug/L
EPHA1	EPH receptor A1	32 ug/L
COL3A1	Collagen type III alpha 1 chain	32 ug/L
REG1B	Regenerating family member 1 beta	32 ug/L
IGKV6D-41	Immunoglobulin kappa variable 6D-41 (non-functional)	32 ug/L
PDCD1LG2	Programmed cell death 1 ligand 2	31 ug/L
GDI1	GDP dissociation inhibitor 1	31 ug/L
ADH1C	Alcohol dehydrogenase 1C (class I), gamma polypeptide	31 ug/L
MARCO	Macrophage receptor with collagenous structure	30 ug/L
TPR	Translocated promoter region, nuclear basket protein	30 ug/L
ERAP1	Endoplasmic reticulum aminopeptidase 1	30 ug/L
ILK	Integrin linked kinase	30 ug/L
KRT20	Keratin 20	30 ug/L
COLEC10	Collectin subfamily member 10	30 ug/L
RELN	Reelin	30 ug/L
MYH13	Myosin heavy chain 13	29 ug/L
MYH3	Myosin heavy chain 3	29 ug/L
MGP	Matrix Gla protein	29 ug/L
NRP2	Neuropilin 2	29 ug/L
APOL2	Apolipoprotein L2	29 ug/L
NOTCH1	Notch receptor 1	29 ug/L
KRT82	Keratin 82	29 ug/L
SFN	Stratifin	29 ug/L
TALDO1	Transaldolase 1	29 ug/L
CTSA	Cathepsin A	28 ug/L
GSS	Glutathione synthetase	28 ug/L
CSTA	Cystatin A	28 ug/L
MYH10	Myosin heavy chain 10	28 ug/L
ADAMDEC1	ADAM like decysin 1	28 ug/L
SNCA	Synuclein alpha	28 ug/L
CAMP	Cathelicidin antimicrobial peptide	28 ug/L
ADAMTSL1	ADAMTS like 1	28 ug/L
COL15A1	Collagen type XV alpha 1 chain	28 ug/L
SPON1	Spondin 1	28 ug/L
NUCB1	Nucleobindin 1	27 ug/L
IL1R2	Interleukin 1 receptor type 2	27 ug/L
DSC1	Desmocollin 1	27 ug/L
DPEP3	Dipeptidase 3	27 ug/L
HMCN2	Hemicentin 2	27 ug/L
SNED1	Sushi, nidogen and EGF like domains 1	27 ug/L
COL1A2	Collagen type I alpha 2 chain	27 ug/L
RTN4RL2	Reticulon 4 receptor like 2	27 ug/L
PRB3	Proline rich protein BstNI subfamily 3	27 ug/L
KPRP	Keratinocyte proline rich protein	27 ug/L
CUTA	CutA divalent cation tolerance homolog	26 ug/L
FLNC	Filamin C	26 ug/L
APP	Amyloid beta precursor protein	26 ug/L
HPD	4-hydroxyphenylpyruvate dioxygenase	26 ug/L
ITGA5	Integrin subunit alpha 5	26 ug/L
SMPDL3A	Sphingomyelin phosphodiesterase acid like 3A	26 ug/L
MYOC	Myocilin	25 ug/L
ACTN2	Actinin alpha 2	25 ug/L
JAG1	Jagged canonical Notch ligand 1	25 ug/L
ACTR3	Actin related protein 3	25 ug/L
PRB2	Proline rich protein BstNI subfamily 2	25 ug/L
IGFBP1	Insulin like growth factor binding protein 1	25 ug/L
H4C8	H4 clustered histone 8	25 ug/L
LAMB2	Laminin subunit beta 2	25 ug/L
F8	Coagulation factor VIII	25 ug/L
H4C3	H4 clustered histone 3	25 ug/L
H4C11	H4 clustered histone 11	25 ug/L
MYH6	Myosin heavy chain 6	25 ug/L
H4-16	H4 histone 16	25 ug/L
H4C15	H4 clustered histone 15	25 ug/L
H4C14	H4 clustered histone 14	25 ug/L
H4C12	H4 clustered histone 12	25 ug/L
H4C6	H4 clustered histone 6	25 ug/L
H4C13	H4 clustered histone 13	25 ug/L
H4C9	H4 clustered histone 9	25 ug/L
H4C5	H4 clustered histone 5	25 ug/L
H4C4	H4 clustered histone 4	25 ug/L
PSMB3	Proteasome 20S subunit beta 3	25 ug/L
H4C1	H4 clustered histone 1	25 ug/L
H4C2	H4 clustered histone 2	25 ug/L
MPO	Myeloperoxidase	24 ug/L
SERPINB1	Serpin family B member 1	24 ug/L
PTPRC	Protein tyrosine phosphatase receptor type C	24 ug/L
C1QTNF3	C1q and TNF related 3	24 ug/L
FCGRT	Fc fragment of IgG receptor and transporter	24 ug/L
AK1	Adenylate kinase 1	24 ug/L
GHR	Growth hormone receptor	24 ug/L
CA6	Carbonic anhydrase 6	24 ug/L
DSC2	Desmocollin 2	24 ug/L
PARVB	Parvin beta	24 ug/L
SIGLEC14	Sialic acid binding Ig like lectin 14	24 ug/L
GANAB	Glucosidase II alpha subunit	23 ug/L
CEACAM5	CEA cell adhesion molecule 5	23 ug/L
LDLR	Low density lipoprotein receptor	23 ug/L
ANGPTL6	Angiopoietin like 6	23 ug/L
MYH11	Myosin heavy chain 11	23 ug/L
GLUD1	Glutamate dehydrogenase 1	23 ug/L
CTSS	Cathepsin S	23 ug/L
IHH	Indian hedgehog signaling molecule	23 ug/L
REG3A	Regenerating family member 3 alpha	23 ug/L
ACY1	Aminoacylase 1	23 ug/L
CCL16	C-C motif chemokine ligand 16	23 ug/L
SLC4A1	Solute carrier family 4 member 1 (Diego blood group)	22 ug/L
RNH1	Ribonuclease/angiogenin inhibitor 1	22 ug/L
GGT5	Gamma-glutamyltransferase 5	22 ug/L
PSMA7	Proteasome 20S subunit alpha 7	22 ug/L
CHAD	Chondroadherin	22 ug/L
CILP2	Cartilage intermediate layer protein 2	22 ug/L
DCBLD1	Discoidin, CUB and LCCL domain containing 1	22 ug/L
FABP4	Fatty acid binding protein 4	22 ug/L
ADGRG2	Adhesion G protein-coupled receptor G2	22 ug/L
CSF1	Colony stimulating factor 1	22 ug/L
PSG5	Pregnancy specific beta-1-glycoprotein 5	22 ug/L
CLIC1	Chloride intracellular channel 1	22 ug/L
PGM1	Phosphoglucomutase 1	21 ug/L
APOA5	Apolipoprotein A5	21 ug/L
OMD	Osteomodulin	21 ug/L
CALU	Calumenin	21 ug/L
PRH2	Proline rich protein HaeIII subfamily 2	21 ug/L
ARHGDIA	Rho GDP dissociation inhibitor alpha	21 ug/L
FLG2	Filaggrin family member 2	21 ug/L
FBP1	Fructose-bisphosphatase 1	21 ug/L
MYL1	Myosin light chain 1	21 ug/L
INHBC	Inhibin subunit beta C	21 ug/L
KCTD12	Potassium channel tetramerization domain containing 12	21 ug/L
THBS2	Thrombospondin 2	21 ug/L
NME1	NME/NM23 nucleoside diphosphate kinase 1	21 ug/L
LILRA6	Leukocyte immunoglobulin like receptor A6	21 ug/L
HMBS	Hydroxymethylbilane synthase	21 ug/L
LGALS1	Galectin 1	20 ug/L
PSMA1	Proteasome 20S subunit alpha 1	20 ug/L
FLNB	Filamin B	20 ug/L
PSMA5	Proteasome 20S subunit alpha 5	20 ug/L
NTRK2	Neurotrophic receptor tyrosine kinase 2	20 ug/L
CD226	CD226 molecule	20 ug/L
PTPRD	Protein tyrosine phosphatase receptor type D	20 ug/L
AGRN	Agrin	20 ug/L
ADH4	Alcohol dehydrogenase 4 (class II), pi polypeptide	20 ug/L
HEXA	Hexosaminidase subunit alpha	20 ug/L
HSPB1	Heat shock protein family B (small) member 1	19 ug/L
CTSC	Cathepsin C	19 ug/L
BIN2	Bridging integrator 2	19 ug/L
ATP5F1B	ATP synthase F1 subunit beta	19 ug/L
STC2	Stanniocalcin 2	19 ug/L
GLIPR2	GLI pathogenesis related 2	19 ug/L
FIBCD1	Fibrinogen C domain containing 1	19 ug/L
NTRK3	Neurotrophic receptor tyrosine kinase 3	19 ug/L
CRELD1	Cysteine rich with EGF like domains 1	19 ug/L
LEP	Leptin	19 ug/L
ANXA2	Annexin A2	19 ug/L
TCN2	Transcobalamin 2	19 ug/L
AKR1C3	Aldo-keto reductase family 1 member C3	19 ug/L
GM2A	GM2 ganglioside activator	19 ug/L
MARCKS	Myristoylated alanine rich protein kinase C substrate	19 ug/L
DKK3	Dickkopf WNT signaling pathway inhibitor 3	18 ug/L
LMAN1	Lectin, mannose binding 1	18 ug/L
PSMA6	Proteasome 20S subunit alpha 6	18 ug/L
HSPD1	Heat shock protein family D (Hsp60) member 1	18 ug/L
GKN1	Gastrokine 1	18 ug/L
BCAM	Basal cell adhesion molecule (Lutheran blood group)	18 ug/L
GUCA2A	Guanylate cyclase activator 2A	18 ug/L
IDS	Iduronate 2-sulfatase	17 ug/L
POMGNT1	Protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	17 ug/L
TYRO3	TYRO3 protein tyrosine kinase	17 ug/L
MSLN	Mesothelin	17 ug/L
ART4	ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)	17 ug/L
IL13RA1	Interleukin 13 receptor subunit alpha 1	17 ug/L
CTSL	Cathepsin L	17 ug/L
CAST	Calpastatin	17 ug/L
ACAN	Aggrecan	17 ug/L
PLXDC1	Plexin domain containing 1	17 ug/L
EEF2	Eukaryotic translation elongation factor 2	17 ug/L
GPT	Glutamic--pyruvic transaminase	17 ug/L
SUSD5	Sushi domain containing 5	17 ug/L
EXT1	Exostosin glycosyltransferase 1	17 ug/L
PYGL	Glycogen phosphorylase L	16 ug/L
CD276	CD276 molecule	16 ug/L
CAPZA1	Capping actin protein of muscle Z-line subunit alpha 1	16 ug/L
TXN	Thioredoxin	16 ug/L
IL18BP	Interleukin 18 binding protein	16 ug/L
IDH1	Isocitrate dehydrogenase (NADP(+)) 1	16 ug/L
SECTM1	Secreted and transmembrane 1	16 ug/L
STOM	Stomatin	16 ug/L
TTN	Titin	16 ug/L
ROBO1	Roundabout guidance receptor 1	16 ug/L
TPSB2	Tryptase beta 2	16 ug/L
LILRB3	Leukocyte immunoglobulin like receptor B3	16 ug/L
PSMB1	Proteasome 20S subunit beta 1	15 ug/L
EHD3	EH domain containing 3	15 ug/L
MAN2B2	Mannosidase alpha class 2B member 2	15 ug/L
RNASET2	Ribonuclease T2	15 ug/L
CDON	Cell adhesion associated, oncogene regulated	15 ug/L
MANBA	Mannosidase beta	15 ug/L
COL5A1	Collagen type V alpha 1 chain	15 ug/L
PDIA6	Protein disulfide isomerase family A member 6	15 ug/L
PDIA4	Protein disulfide isomerase family A member 4	15 ug/L
FOLR2	Folate receptor beta	15 ug/L
GYPA	Glycophorin A (MNS blood group)	15 ug/L
KRTAP4-6	Keratin associated protein 4-6	15 ug/L
HLA-F	Major histocompatibility complex, class I, F	15 ug/L
PYGB	Glycogen phosphorylase B	14 ug/L
MTPN	Myotrophin	14 ug/L
PRR4	Proline rich 4	14 ug/L
PCDH12	Protocadherin 12	14 ug/L
FAM20B	FAM20B glycosaminoglycan xylosylkinase	14 ug/L
LEPR	Leptin receptor	14 ug/L
LTBP2	Latent transforming growth factor beta binding protein 2	14 ug/L
ACAT2	Acetyl-CoA acetyltransferase 2	14 ug/L
TGM3	Transglutaminase 3	14 ug/L
PTPRB	Protein tyrosine phosphatase receptor type B	14 ug/L
UBA1	Ubiquitin like modifier activating enzyme 1	14 ug/L
CLTC	Clathrin heavy chain	14 ug/L
S100A7	S100 calcium binding protein A7	14 ug/L
MDH2	Malate dehydrogenase 2	14 ug/L
ADAM12	ADAM metallopeptidase domain 12	14 ug/L
THY1	Thy-1 cell surface antigen	14 ug/L
ASGR2	Asialoglycoprotein receptor 2	14 ug/L
FABP5	Fatty acid binding protein 5	14 ug/L
HSPA4	Heat shock protein family A (Hsp70) member 4	14 ug/L
PNLIP	Pancreatic lipase	14 ug/L
IGLV5-37	Immunoglobulin lambda variable 5-37	14 ug/L
PSMA4	Proteasome 20S subunit alpha 4	13 ug/L
SERPINE1	Serpin family E member 1	13 ug/L
FAM20A	FAM20A golgi associated secretory pathway pseudokinase	13 ug/L
CORO1C	Coronin 1C	13 ug/L
TEK	TEK receptor tyrosine kinase	13 ug/L
XPNPEP2	X-prolyl aminopeptidase 2	13 ug/L
CANX	Calnexin	13 ug/L
ARPC1B	Actin related protein 2/3 complex subunit 1B	13 ug/L
SH3BGRL	SH3 domain binding glutamate rich protein like	13 ug/L
CILP	Cartilage intermediate layer protein	13 ug/L
GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2	13 ug/L
SCGB1A1	Secretoglobin family 1A member 1	13 ug/L
PTPRK	Protein tyrosine phosphatase receptor type K	13 ug/L
ALPL	Alkaline phosphatase, biomineralization associated	13 ug/L
ANTXR2	ANTXR cell adhesion molecule 2	13 ug/L
MAPRE2	Microtubule associated protein RP/EB family member 2	13 ug/L
UGP2	UDP-glucose pyrophosphorylase 2	13 ug/L
CSF2RA	Colony stimulating factor 2 receptor subunit alpha	13 ug/L
PKHD1L1	PKHD1 like 1	13 ug/L
FHL1	Four and a half LIM domains 1	12 ug/L
VCAN	Versican	12 ug/L
FKBP1A	FKBP prolyl isomerase 1A	12 ug/L
NME3	NME/NM23 nucleoside diphosphate kinase 3	12 ug/L
FOLR3	Folate receptor gamma	12 ug/L
PTK7	Protein tyrosine kinase 7 (inactive)	12 ug/L
TREH	Trehalase	12 ug/L
ASL	Argininosuccinate lyase	12 ug/L
MGAT1	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	12 ug/L
PLAA	Phospholipase A2 activating protein	12 ug/L
ESD	Esterase D	12 ug/L
FBLN5	Fibulin 5	12 ug/L
TGOLN2	Trans-golgi network protein 2	12 ug/L
CBR1	Carbonyl reductase 1	12 ug/L
PSMB4	Proteasome 20S subunit beta 4	12 ug/L
LILRA4	Leukocyte immunoglobulin like receptor A4	12 ug/L
TYMP	Thymidine phosphorylase	11 ug/L
CTTN	Cortactin	11 ug/L
MAPRE1	Microtubule associated protein RP/EB family member 1	11 ug/L
ALG13	ALG13 UDP-N-acetylglucosaminyltransferase subunit	11 ug/L
PLIN3	Perilipin 3	11 ug/L
HNRNPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1	11 ug/L
KDR	Kinase insert domain receptor	11 ug/L
FBN2	Fibrillin 2	11 ug/L
